TEAM_ABBREVIATION,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,HOME_WIN,HOME
RAP,2017-03-31,RAP @ DEL,1,240,123,43,79,0.544,15,27,0.556,22,31,0.71,10,37,47,32,7,3,13,25,20.0,0,0
MEM,2017-03-31,MEM vs. DAL,1,240,99,35,75,0.467,11,27,0.407,18,20,0.9,8,39,47,23,4,4,13,22,9.0,1,1
ORL,2017-03-31,ORL @ BOS,0,240,116,40,98,0.408,12,30,0.4,24,25,0.96,11,37,48,28,9,4,9,21,-1.0,0,0
WAS,2017-03-31,WAS @ UTA,0,241,88,35,87,0.402,5,17,0.294,13,16,0.813,14,31,45,12,8,1,14,23,-7.0,0,0
HOU,2017-03-31,HOU @ GSW,0,241,98,34,91,0.374,12,37,0.324,18,23,0.783,18,30,48,20,6,3,13,12,-9.0,0,0
CLE,2017-03-31,CLE vs. PHI,1,240,122,50,95,0.526,13,29,0.448,9,16,0.563,13,36,49,30,8,4,8,16,17.0,1,1
SLC,2017-03-31,SLC vs. RNO,0,240,108,41,91,0.451,9,26,0.346,17,25,0.68,10,33,43,19,6,7,18,23,-7.0,0,1
GRD,2017-03-31,GRD vs. CTN,1,241,94,39,82,0.476,9,28,0.321,7,11,0.636,10,34,44,19,13,6,17,21,11.0,1,1
UTA,2017-03-31,UTA vs. WAS,1,240,95,33,72,0.458,10,25,0.4,19,31,0.613,7,35,42,20,9,7,10,18,7.0,1,1
NOP,2017-03-31,NOP vs. SAC,1,241,117,46,95,0.484,10,33,0.303,15,19,0.789,10,35,45,28,16,12,12,13,28.0,1,1
DAL,2017-03-31,DAL @ MEM,0,240,90,29,76,0.382,12,34,0.353,20,25,0.8,6,32,38,15,7,4,8,21,-9.0,0,0
SAC,2017-03-31,SAC @ NOP,0,240,89,35,90,0.389,6,20,0.3,13,17,0.765,14,38,52,18,7,6,20,17,-28.0,0,0
GSW,2017-03-31,GSW vs. HOU,1,239,107,43,95,0.453,11,32,0.344,10,14,0.714,13,30,43,27,10,14,10,20,9.0,1,1
RNO,2017-03-31,RNO @ SLC,1,242,115,39,89,0.438,8,26,0.308,29,33,0.879,10,40,50,15,9,5,16,18,7.0,0,0
MIA,2017-03-31,MIA vs. NYK,0,240,94,34,83,0.41,8,33,0.242,18,25,0.72,11,30,41,17,5,4,13,17,-4.0,0,1
PHX,2017-03-30,PHX vs. LAC,0,240,118,49,92,0.533,7,23,0.304,13,24,0.542,13,30,43,24,6,2,14,27,-6.0,0,1
LAL,2017-03-30,LAL @ MIN,0,241,104,40,84,0.476,9,27,0.333,15,16,0.938,14,28,42,20,4,5,16,22,-15.0,0,0
WES,2017-03-30,WES vs. GRD,0,240,96,34,76,0.447,9,26,0.346,19,29,0.655,4,28,32,16,3,2,14,20,-12.0,0,1
