TEAM_ABBREVIATION,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,HOME_WIN,HOME
DAL,2017-03-13,DAL @ TOR,0,240,78,31,85,0.365,7,25,0.28,9,13,0.692,7,27,34,21,4,6,7,19,-22.0,0,0
BKN,2017-03-12,BKN vs. NYK,1,241,120,40,87,0.46,19,38,0.5,21,29,0.724,13,42,55,23,7,3,12,23,8.0,1,1
PHI,2017-03-12,PHI @ LAL,1,240,118,41,79,0.519,10,24,0.417,26,32,0.813,4,30,34,28,8,4,16,24,2.0,0,0
SCW,2017-03-12,SCW @ IWA,1,240,111,40,82,0.488,10,33,0.303,21,26,0.808,5,34,39,18,15,7,16,23,3.0,0,0
HOU,2017-03-12,HOU vs. CLE,1,240,117,41,96,0.427,16,45,0.356,19,28,0.679,20,32,52,25,10,4,6,17,5.0,1,1
RGV,2017-03-12,RGV @ CTN,0,241,116,41,85,0.482,9,25,0.36,25,32,0.781,15,29,44,17,9,0,21,32,-4.0,0,0
CLE,2017-03-12,CLE @ HOU,0,240,112,42,80,0.525,17,43,0.395,11,13,0.846,4,34,38,24,3,7,15,23,-5.0,0,0
CTN,2017-03-12,CTN vs. RGV,1,241,120,42,81,0.519,14,31,0.452,22,32,0.688,11,26,37,23,9,6,17,24,4.0,1,1
MNE,2017-03-12,MNE vs. WES,1,241,93,34,80,0.425,8,30,0.267,17,25,0.68,11,40,51,25,9,8,11,13,8.0,1,1
LAL,2017-03-12,LAL vs. PHI,0,240,116,44,88,0.5,4,20,0.2,24,28,0.857,7,33,40,24,10,10,15,21,-2.0,0,1
IWA,2017-03-12,IWA vs. SCW,0,240,108,37,92,0.402,7,21,0.333,27,34,0.794,22,35,57,17,5,4,21,23,-3.0,0,1
MIA,2017-03-12,MIA @ IND,0,240,98,39,94,0.415,9,32,0.281,11,16,0.688,19,35,54,18,4,4,8,22,-4.0,0,0
CHI,2017-03-12,CHI @ BOS,0,241,80,33,87,0.379,7,25,0.28,7,9,0.778,12,28,40,18,13,3,17,10,-20.0,0,0
IND,2017-03-12,IND vs. MIA,1,239,102,35,82,0.427,5,15,0.333,27,32,0.844,11,35,46,12,2,4,9,15,4.0,1,1
NYK,2017-03-12,NYK @ BKN,0,241,112,39,94,0.415,8,23,0.348,26,32,0.813,11,32,43,22,5,8,9,20,-8.0,0,0
PHX,2017-03-12,PHX vs. POR,0,241,101,41,93,0.441,5,14,0.357,14,20,0.7,6,35,41,20,5,3,9,21,-9.0,0,1
WES,2017-03-12,WES @ MNE,0,240,85,33,76,0.434,7,17,0.412,12,16,0.75,3,33,36,18,7,6,13,20,-8.0,0,0
SXF,2017-03-12,SXF @ NAS,0,239,123,42,90,0.467,16,32,0.5,23,33,0.697,13,33,46,26,7,4,26,27,-4.0,0,0
POR,2017-03-12,POR @ PHX,1,242,110,43,86,0.5,7,22,0.318,17,25,0.68,9,40,49,14,7,5,14,24,9.0,0,0
BOS,2017-03-12,BOS vs. CHI,1,240,100,40,86,0.465,16,37,0.432,4,4,1.0,12,39,51,22,14,5,21,14,20.0,1,1
NAS,2017-03-12,NAS vs. SXF,1,239,127,43,96,0.448,14,34,0.412,27,34,0.794,18,30,48,24,15,8,18,31,4.0,1,1
DEL,2017-03-11,DEL @ TEX,0,241,92,34,99,0.343,6,29,0.207,18,22,0.818,14,32,46,15,10,3,17,19,-39.0,0,0
CLE,2017-03-11,CLE @ ORL,1,242,116,43,86,0.5,15,39,0.385,15,25,0.6,9,43,52,30,1,6,9,18,12.0,0,0
MIN,2017-03-11,MIN @ MIL,0,239,95,37,81,0.457,5,13,0.385,16,21,0.762,11,27,38,21,4,4,12,22,-7.0,0,0
ORL,2017-03-11,ORL vs. CLE,0,242,104,38,96,0.396,4,21,0.19,24,28,0.857,14,38,52,17,6,1,5,21,-12.0,0,1
OKC,2017-03-11,OKC vs. UTA,1,239,112,43,86,0.5,8,23,0.348,18,24,0.75,12,31,43,23,7,7,12,20,8.0,1,1
TOR,2017-03-11,TOR @ MIA,0,239,89,33,88,0.375,2,15,0.133,21,25,0.84,16,32,48,7,6,5,12,20,-15.0,0,0
SAC,2017-03-11,SAC vs. DEN,0,241,92,36,82,0.439,8,23,0.348,12,20,0.6,10,31,41,24,4,2,12,15,-13.0,0,1
SXF,2017-03-11,SXF @ SLC,1,241,120,46,88,0.523,12,32,0.375,16,18,0.889,6,37,43,25,11,4,16,26,13.0,0,0
PHX,2017-03-11,PHX @ DAL,1,240,100,38,83,0.458,6,21,0.286,18,20,0.9,5,35,40,18,5,7,11,24,2.0,0,0
DEN,2017-03-11,DEN @ SAC,1,240,105,40,85,0.471,9,34,0.265,16,18,0.889,9,35,44,21,8,8,9,16,13.0,0,0
FWN,2017-03-11,FWN @ LAD,1,241,131,47,90,0.522,14,31,0.452,23,30,0.767,10,33,43,24,3,3,12,24,22.0,0,0
GBO,2017-03-11,GBO vs. WCB,1,241,99,41,85,0.482,6,21,0.286,11,17,0.647,15,42,57,18,5,14,19,14,6.0,1,1
UTA,2017-03-11,UTA @ OKC,0,240,104,36,75,0.48,9,20,0.45,23,28,0.821,7,29,36,15,9,2,12,17,-8.0,0,0
CTN,2017-03-11,CTN vs. AUS,1,241,104,37,98,0.378,12,31,0.387,18,24,0.75,20,28,48,19,8,11,16,23,3.0,1,1
GRD,2017-03-11,GRD @ ERI,0,241,111,35,77,0.455,14,31,0.452,27,35,0.771,7,32,39,19,10,3,14,23,-6.0,0,0
LAC,2017-03-11,LAC vs. PHI,1,239,112,40,81,0.494,8,25,0.32,24,29,0.828,8,33,41,25,13,3,13,13,12.0,1,1
ATL,2017-03-11,ATL @ MEM,1,242,107,36,72,0.5,15,30,0.5,20,26,0.769,6,40,46,22,9,6,18,23,17.0,0,0
DET,2017-03-11,DET vs. NYK,1,241,112,46,96,0.479,9,27,0.333,11,19,0.579,14,37,51,27,14,6,7,15,20.0,1,1
MEM,2017-03-11,MEM vs. ATL,0,241,90,34,90,0.378,5,29,0.172,17,23,0.739,13,28,41,22,11,3,13,21,-17.0,0,1
SAS,2017-03-11,SAS vs. GSW,1,239,107,40,77,0.519,12,27,0.444,15,18,0.833,7,39,46,27,6,7,18,18,22.0,1,1
WAS,2017-03-11,WAS @ POR,1,265,125,47,90,0.522,12,25,0.48,19,28,0.679,9,37,46,27,5,4,11,20,1.0,0,0
NYK,2017-03-11,NYK @ DET,0,239,92,36,82,0.439,13,30,0.433,7,11,0.636,8,36,44,26,4,7,18,18,-20.0,0,0
PHI,2017-03-11,PHI @ LAC,0,240,100,40,84,0.476,10,30,0.333,10,14,0.714,7,34,41,28,11,1,16,23,-12.0,0,0
GSW,2017-03-11,GSW @ SAS,0,241,85,33,92,0.359,5,17,0.294,14,23,0.609,20,29,49,19,10,4,15,16,-22.0,0,0
NOP,2017-03-11,NOP @ CHA,1,265,125,50,99,0.505,14,34,0.412,11,16,0.688,9,38,47,33,4,4,10,16,3.0,0,0
ERI,2017-03-11,ERI vs. GRD,1,239,117,41,85,0.482,12,33,0.364,23,28,0.821,8,35,43,21,10,4,15,27,6.0,1,1
POR,2017-03-11,POR vs. WAS,0,265,124,48,94,0.511,16,32,0.5,12,16,0.75,7,36,43,26,4,5,14,19,-1.0,0,1
LAD,2017-03-11,LAD vs. FWN,0,241,109,41,89,0.461,5,23,0.217,22,30,0.733,11,33,44,18,6,3,12,27,-22.0,0,1
CHA,2017-03-11,CHA vs. NOP,0,267,122,46,102,0.451,13,46,0.283,17,20,0.85,11,39,50,32,5,1,9,14,-3.0,0,1
MIA,2017-03-11,MIA vs. TOR,1,240,104,35,72,0.486,11,28,0.393,23,33,0.697,3,32,35,21,8,10,12,19,15.0,1,1
TEX,2017-03-11,TEX vs. DEL,1,239,131,49,96,0.51,20,42,0.476,13,17,0.765,13,46,59,28,6,11,15,16,39.0,1,1
WCB,2017-03-11,WCB @ GBO,0,240,93,38,98,0.388,8,31,0.258,9,14,0.643,18,26,44,20,8,4,8,17,-6.0,0,0
DAL,2017-03-11,DAL vs. PHX,0,241,98,28,74,0.378,9,26,0.346,33,36,0.917,10,38,48,17,2,4,13,17,-2.0,0,1
AUS,2017-03-11,AUS @ CTN,0,241,101,35,84,0.417,7,20,0.35,24,32,0.75,14,32,46,19,12,8,20,24,-3.0,0,0
MIL,2017-03-11,MIL vs. MIN,1,239,102,37,80,0.463,8,20,0.4,20,23,0.87,11,29,40,19,5,6,9,23,7.0,1,1
SLC,2017-03-11,SLC vs. SXF,0,240,107,36,83,0.434,8,26,0.308,27,33,0.818,9,32,41,15,12,4,16,17,-13.0,0,1
RNO,2017-03-10,RNO @ LAD,1,239,114,46,89,0.517,12,30,0.4,10,17,0.588,5,33,38,23,8,3,13,14,8.0,0,0
CHA,2017-03-10,CHA vs. ORL,1,239,121,47,79,0.595,10,21,0.476,17,20,0.85,6,37,43,34,6,5,7,17,40.0,1,1
ORL,2017-03-10,ORL @ CHA,0,240,81,31,76,0.408,5,27,0.185,14,22,0.636,8,23,31,19,4,2,10,24,-40.0,0,0
FWN,2017-03-10,FWN @ SCW,0,239,123,46,101,0.455,8,30,0.267,23,27,0.852,15,28,43,28,9,2,10,19,-21.0,0,0
RAP,2017-03-10,RAP @ SLC,0,240,106,38,84,0.452,8,33,0.242,22,29,0.759,14,28,42,13,11,1,18,22,-6.0,0,0
ATL,2017-03-10,ATL vs. TOR,1,239,105,39,75,0.52,8,22,0.364,19,29,0.655,8,37,45,24,8,6,21,20,6.0,1,1
DAL,2017-03-10,DAL vs. BKN,1,241,105,33,78,0.423,14,33,0.424,25,28,0.893,7,40,47,16,5,0,15,18,9.0,1,1
GRD,2017-03-10,GRD @ ERI,1,241,119,46,87,0.529,11,27,0.407,16,22,0.727,10,40,50,25,4,5,13,19,21.0,0,0
IND,2017-03-10,IND @ MIL,0,242,85,33,75,0.44,2,18,0.111,17,22,0.773,8,28,36,15,14,3,18,24,-14.0,0,0
GBO,2017-03-10,GBO vs. RGV,0,239,109,43,95,0.453,4,20,0.2,19,30,0.633,14,24,38,19,10,4,15,20,-23.0,0,1
MIL,2017-03-10,MIL vs. IND,1,240,99,33,64,0.516,7,17,0.412,26,30,0.867,5,29,34,17,13,6,20,21,14.0,1,1
SLC,2017-03-10,SLC vs. RAP,1,240,112,45,84,0.536,11,28,0.393,11,18,0.611,7,31,38,22,13,4,16,26,6.0,1,1
WAS,2017-03-10,WAS @ SAC,1,265,130,52,104,0.5,9,26,0.346,17,19,0.895,12,40,52,29,7,5,9,22,8.0,0,0
RGV,2017-03-10,RGV @ GBO,1,239,132,49,86,0.57,11,23,0.478,23,30,0.767,15,37,52,24,11,6,22,23,23.0,0,0
SAC,2017-03-10,SAC vs. WAS,0,264,122,44,92,0.478,12,23,0.522,22,28,0.786,8,32,40,27,5,1,10,21,-8.0,0,1
DEN,2017-03-10,DEN vs. BOS,1,241,119,45,85,0.529,12,31,0.387,17,22,0.773,11,39,50,24,11,4,18,18,20.0,1,1
GSW,2017-03-10,GSW @ MIN,0,239,102,41,88,0.466,7,24,0.292,13,17,0.765,12,31,43,25,9,5,12,21,-1.0,0,0
LAD,2017-03-10,LAD vs. RNO,0,239,106,45,88,0.511,11,30,0.367,5,10,0.5,7,37,44,29,6,2,21,16,-8.0,0,1
ERI,2017-03-10,ERI vs. GRD,0,240,98,38,95,0.4,10,28,0.357,12,14,0.857,13,30,43,17,8,2,11,21,-21.0,0,1
MIN,2017-03-10,MIN vs. GSW,1,240,103,39,88,0.443,4,14,0.286,21,27,0.778,14,32,46,21,6,3,11,18,1.0,1,1
CHI,2017-03-10,CHI vs. HOU,0,241,94,38,98,0.388,9,39,0.231,9,12,0.75,11,38,49,24,9,4,18,21,-21.0,0,1
HOU,2017-03-10,HOU @ CHI,1,240,115,37,89,0.416,15,47,0.319,26,32,0.813,11,43,54,26,11,4,17,15,21.0,0,0
BKN,2017-03-10,BKN @ DAL,0,241,96,34,78,0.436,9,31,0.29,19,23,0.826,4,31,35,23,9,2,12,28,-9.0,0,0
SCW,2017-03-10,SCW vs. FWN,1,240,144,54,98,0.551,17,37,0.459,19,23,0.826,12,35,47,30,3,9,14,23,21.0,1,1
BOS,2017-03-10,BOS @ DEN,0,240,99,34,81,0.42,12,33,0.364,19,23,0.826,9,25,34,19,11,2,18,23,-20.0,0,0
TOR,2017-03-10,TOR @ ATL,0,240,99,37,92,0.402,4,25,0.16,21,27,0.778,16,30,46,19,17,5,11,28,-6.0,0,0
POR,2017-03-09,POR vs. PHI,1,265,114,40,88,0.455,6,21,0.286,28,33,0.848,16,39,55,25,8,12,19,22,6.0,1,1
OKC,2017-03-09,OKC vs. SAS,1,240,102,41,89,0.461,6,20,0.3,14,21,0.667,15,33,48,23,10,3,11,22,10.0,1,1
DEL,2017-03-09,DEL @ AUS,0,240,93,39,93,0.419,3,18,0.167,12,15,0.8,11,28,39,19,12,10,11,21,-9.0,0,0
MNE,2017-03-09,MNE vs. WES,1,238,110,40,75,0.533,16,32,0.5,14,20,0.7,7,38,45,25,4,7,18,21,16.0,1,1
WES,2017-03-09,WES @ MNE,0,240,94,41,90,0.456,4,16,0.25,8,14,0.571,13,26,39,19,9,4,12,19,-16.0,0,0
AUS,2017-03-09,AUS vs. DEL,1,241,102,38,88,0.432,8,24,0.333,18,22,0.818,16,38,54,23,6,10,16,14,9.0,1,1
NAS,2017-03-09,NAS @ TEX,1,256,120,47,100,0.47,12,29,0.414,14,22,0.636,20,37,57,18,7,8,16,19,2.0,0,0
CLE,2017-03-09,CLE @ DET,0,240,101,39,84,0.464,11,39,0.282,12,19,0.632,8,34,42,24,4,1,9,17,-5.0,0,0
TEX,2017-03-09,TEX vs. NAS,0,257,118,41,94,0.436,12,33,0.364,24,27,0.889,12,33,45,18,13,7,13,18,-2.0,0,1
LAC,2017-03-09,LAC @ MEM,1,239,114,40,78,0.513,11,30,0.367,23,28,0.821,7,40,47,24,2,4,14,18,16.0,0,0
PHX,2017-03-09,PHX vs. LAL,0,239,110,42,91,0.462,6,19,0.316,20,25,0.8,18,36,54,20,7,10,19,24,-12.0,0,1
DET,2017-03-09,DET vs. CLE,1,240,106,41,88,0.466,9,26,0.346,15,19,0.789,11,34,45,22,6,1,7,15,5.0,1,1
SAS,2017-03-09,SAS @ OKC,0,239,92,35,84,0.417,6,19,0.316,16,20,0.8,13,28,41,15,8,8,15,16,-10.0,0,0
PHI,2017-03-09,PHI @ POR,0,266,108,41,94,0.436,11,29,0.379,15,20,0.75,12,32,44,18,10,3,16,29,-6.0,0,0
LAL,2017-03-09,LAL @ PHX,1,240,122,47,98,0.48,12,27,0.444,16,24,0.667,14,28,42,21,11,7,9,20,12.0,0,0
MEM,2017-03-09,MEM vs. LAC,0,239,98,37,83,0.446,7,20,0.35,17,22,0.773,6,28,34,26,6,2,9,22,-16.0,0,1
NYK,2017-03-08,NYK @ MIL,0,241,93,39,84,0.464,7,21,0.333,8,12,0.667,10,33,43,22,4,6,15,20,-11.0,0,0
BOS,2017-03-08,BOS @ GSW,1,241,99,37,84,0.44,10,29,0.345,15,19,0.789,9,36,45,28,12,1,12,10,13.0,0,0
UTA,2017-03-08,UTA @ HOU,1,239,115,41,76,0.539,12,31,0.387,21,24,0.875,10,35,45,21,2,4,16,23,7.0,0,0
RGV,2017-03-08,RGV vs. DEL,1,240,136,53,99,0.535,10,34,0.294,20,23,0.87,16,31,47,30,13,11,15,22,24.0,1,1
SCW,2017-03-08,SCW vs. RAP,1,238,128,46,79,0.582,15,34,0.441,21,32,0.656,4,26,30,27,13,3,12,25,6.0,1,1
NOP,2017-03-08,NOP vs. TOR,0,239,87,34,80,0.425,9,29,0.31,10,13,0.769,8,32,40,22,6,3,14,20,-7.0,0,1
LAC,2017-03-08,LAC @ MIN,0,238,91,35,83,0.422,9,24,0.375,12,18,0.667,10,26,36,18,9,3,16,18,-16.0,0,0
WCB,2017-03-08,WCB vs. CTN,0,241,99,35,86,0.407,10,32,0.313,19,25,0.76,11,33,44,24,5,7,18,21,-14.0,0,1
SAS,2017-03-08,SAS vs. SAC,1,240,114,42,84,0.5,14,29,0.483,16,21,0.762,6,37,43,33,9,5,12,15,10.0,1,1
RAP,2017-03-08,RAP @ SCW,0,241,122,41,82,0.5,13,27,0.481,27,28,0.964,13,31,44,25,6,3,17,25,-6.0,0,0
MIA,2017-03-08,MIA vs. CHA,1,240,108,37,85,0.435,17,41,0.415,17,24,0.708,13,33,46,22,8,7,12,18,7.0,1,1
CHI,2017-03-08,CHI @ ORL,0,240,91,36,81,0.444,12,28,0.429,7,11,0.636,9,35,44,24,3,4,16,16,-7.0,0,0
IND,2017-03-08,IND vs. DET,1,241,115,44,88,0.5,11,23,0.478,16,19,0.842,9,37,46,27,3,2,5,18,17.0,1,1
GSW,2017-03-08,GSW vs. BOS,0,240,86,37,84,0.44,6,30,0.2,6,9,0.667,12,34,46,23,8,12,17,20,-13.0,0,1
CHA,2017-03-08,CHA @ MIA,0,242,101,37,80,0.463,7,21,0.333,20,21,0.952,6,33,39,14,7,8,12,17,-7.0,0,0
LIN,2017-03-08,LIN @ OKL,0,241,92,36,87,0.414,9,34,0.265,11,15,0.733,12,35,47,25,11,9,21,19,-6.0,0,0
SLC,2017-03-08,SLC vs. FWN,0,239,105,40,90,0.444,10,25,0.4,15,19,0.789,10,33,43,21,13,5,16,25,-11.0,0,1
SAC,2017-03-08,SAC @ SAS,0,241,104,42,86,0.488,7,19,0.368,13,16,0.813,5,37,42,20,7,3,13,22,-10.0,0,0
DET,2017-03-08,DET @ IND,0,240,98,39,89,0.438,7,26,0.269,13,22,0.591,11,34,45,20,4,4,10,18,-17.0,0,0
DEL,2017-03-08,DEL @ RGV,0,241,112,42,86,0.488,6,22,0.273,22,30,0.733,12,26,38,25,10,4,18,18,-24.0,0,0
CTN,2017-03-08,CTN @ WCB,1,240,113,44,92,0.478,11,27,0.407,14,23,0.609,9,37,46,22,11,11,12,21,14.0,0,0
ORL,2017-03-08,ORL vs. CHI,1,240,98,37,89,0.416,7,25,0.28,17,21,0.81,15,33,48,21,10,4,9,17,7.0,1,1
WAS,2017-03-08,WAS @ DEN,1,242,123,50,88,0.568,11,26,0.423,12,19,0.632,8,35,43,31,10,0,11,16,10.0,0,0
BKN,2017-03-08,BKN @ ATL,0,241,105,37,80,0.463,11,33,0.333,20,25,0.8,5,35,40,28,7,11,22,25,-5.0,0,0
OKL,2017-03-08,OKL vs. LIN,1,239,98,39,87,0.448,7,22,0.318,13,20,0.65,10,35,45,25,13,4,19,12,6.0,1,1
TOR,2017-03-08,TOR @ NOP,1,241,94,36,76,0.474,8,21,0.381,14,23,0.609,8,34,42,21,6,6,11,18,7.0,0,0
HOU,2017-03-08,HOU vs. UTA,0,241,108,35,79,0.443,8,32,0.25,30,40,0.75,10,21,31,22,9,4,8,20,-7.0,0,1
DEN,2017-03-08,DEN vs. WAS,0,241,113,46,87,0.529,13,28,0.464,8,17,0.471,10,29,39,31,6,2,16,16,-10.0,0,1
MIN,2017-03-08,MIN vs. LAC,1,240,107,42,86,0.488,5,20,0.25,18,20,0.9,14,36,50,26,10,4,12,23,16.0,1,1
FWN,2017-03-08,FWN @ SLC,1,240,116,45,82,0.549,12,25,0.48,14,22,0.636,7,36,43,26,8,4,16,19,11.0,0,0
MIL,2017-03-08,MIL vs. NYK,1,240,104,37,86,0.43,8,26,0.308,22,28,0.786,12,34,46,26,9,4,8,13,11.0,1,1
ATL,2017-03-08,ATL vs. BKN,1,239,110,41,95,0.432,4,20,0.2,24,32,0.75,11,36,47,19,12,7,15,22,5.0,1,1
PHX,2017-03-07,PHX vs. WAS,0,239,127,44,88,0.5,13,27,0.481,26,33,0.788,9,40,49,23,5,8,19,32,-4.0,0,1
WAS,2017-03-07,WAS @ PHX,1,240,131,41,90,0.456,7,18,0.389,42,53,0.792,9,35,44,19,15,4,11,21,4.0,0,0
DAL,2017-03-07,DAL vs. LAL,1,240,122,45,83,0.542,17,31,0.548,15,19,0.789,6,35,41,25,5,5,14,17,11.0,1,1
NAS,2017-03-07,NAS @ TEX,0,240,118,45,97,0.464,12,32,0.375,16,25,0.64,16,33,49,21,7,5,12,26,-9.0,0,0
POR,2017-03-07,POR @ OKC,1,240,126,47,85,0.553,11,23,0.478,21,27,0.778,12,24,36,24,7,5,11,23,5.0,0,0
TEX,2017-03-07,TEX vs. NAS,1,240,127,45,91,0.495,11,26,0.423,26,37,0.703,15,34,49,20,4,8,11,20,9.0,1,1
OKC,2017-03-07,OKC vs. POR,0,242,121,44,85,0.518,10,25,0.4,23,30,0.767,12,27,39,16,4,1,17,25,-5.0,0,1
LAL,2017-03-07,LAL @ DAL,0,238,111,42,90,0.467,11,30,0.367,16,22,0.727,11,33,44,25,9,3,11,20,-11.0,0,0
DET,2017-03-06,DET vs. CHI,1,240,109,45,92,0.489,6,21,0.286,13,20,0.65,10,38,48,26,7,3,6,19,14.0,1,1
BKN,2017-03-06,BKN @ MEM,1,241,122,39,73,0.534,14,30,0.467,30,38,0.789,7,34,41,16,12,5,16,27,13.0,0,0
GSW,2017-03-06,GSW @ ATL,1,242,119,41,87,0.471,20,44,0.455,17,22,0.773,13,30,43,33,10,4,14,22,8.0,0,0
IND,2017-03-06,IND @ CHA,0,240,88,37,81,0.457,12,30,0.4,2,3,0.667,6,35,41,29,3,5,15,17,-12.0,0,0
RGV,2017-03-06,RGV vs. LIN,1,238,121,43,79,0.544,7,21,0.333,28,33,0.848,8,27,35,29,15,6,21,18,7.0,1,1
UTA,2017-03-06,UTA vs. NOP,1,239,88,33,81,0.407,10,27,0.37,12,15,0.8,12,34,46,16,10,2,19,17,5.0,1,1
MIL,2017-03-06,MIL @ PHI,1,241,112,41,83,0.494,14,33,0.424,16,20,0.8,9,32,41,28,7,7,12,16,14.0,0,0
MIA,2017-03-06,MIA @ CLE,1,240,106,39,91,0.429,16,35,0.457,12,14,0.857,8,30,38,23,7,6,7,19,8.0,0,0
ORL,2017-03-06,ORL vs. NYK,0,240,105,40,85,0.471,9,32,0.281,16,24,0.667,11,31,42,23,4,5,13,23,-8.0,0,1
SAC,2017-03-06,SAC @ DEN,0,238,96,36,83,0.434,6,16,0.375,18,21,0.857,11,29,40,20,9,1,15,18,-12.0,0,0
WCB,2017-03-06,WCB vs. MNE,1,239,103,41,86,0.477,7,24,0.292,14,21,0.667,12,33,45,28,5,11,8,14,14.0,1,1
MEM,2017-03-06,MEM vs. BKN,0,240,109,34,77,0.442,10,25,0.4,31,39,0.795,8,29,37,23,7,2,15,29,-13.0,0,1
CHA,2017-03-06,CHA vs. IND,1,240,100,35,86,0.407,11,31,0.355,19,21,0.905,13,37,50,21,10,2,10,8,12.0,1,1
SAS,2017-03-06,SAS vs. HOU,1,239,112,40,88,0.455,11,28,0.393,21,23,0.913,9,35,44,24,6,6,9,13,2.0,1,1
NYK,2017-03-06,NYK @ ORL,1,239,113,40,86,0.465,6,14,0.429,27,28,0.964,12,33,45,26,6,1,9,23,8.0,0,0
HOU,2017-03-06,HOU @ SAS,0,240,110,41,88,0.466,14,39,0.359,14,17,0.824,7,36,43,19,3,3,12,20,-2.0,0,0
LIN,2017-03-06,LIN @ RGV,0,240,114,48,90,0.533,7,29,0.241,11,18,0.611,18,24,42,31,14,4,28,22,-7.0,0,0
BOS,2017-03-06,BOS @ LAC,0,240,102,34,83,0.41,10,35,0.286,24,29,0.828,7,30,37,22,9,2,11,31,-14.0,0,0
CHI,2017-03-06,CHI @ DET,0,240,95,34,83,0.41,8,28,0.286,19,21,0.905,7,30,37,21,3,5,10,20,-14.0,0,0
CLE,2017-03-06,CLE vs. MIA,0,241,98,35,78,0.449,9,27,0.333,19,29,0.655,11,41,52,15,3,6,17,15,-8.0,0,1
LAC,2017-03-06,LAC vs. BOS,1,239,116,39,73,0.534,9,20,0.45,29,47,0.617,8,39,47,23,7,5,13,24,14.0,1,1
NOP,2017-03-06,NOP @ UTA,0,240,83,30,84,0.357,10,33,0.303,13,18,0.722,13,34,47,16,11,3,20,15,-5.0,0,0
MNE,2017-03-06,MNE @ WCB,0,241,89,34,87,0.391,12,40,0.3,9,11,0.818,13,31,44,25,4,4,11,24,-14.0,0,0
PHI,2017-03-06,PHI vs. MIL,0,240,98,39,89,0.438,8,30,0.267,12,19,0.632,14,28,42,30,5,3,12,20,-14.0,0,1
DEN,2017-03-06,DEN vs. SAC,1,240,108,37,74,0.5,13,30,0.433,21,28,0.75,7,33,40,28,11,2,17,18,12.0,1,1
ATL,2017-03-06,ATL vs. GSW,0,240,111,38,82,0.463,13,28,0.464,22,31,0.71,14,33,47,19,6,6,19,23,-8.0,0,1
MNE,2017-03-05,MNE @ IWA,1,241,110,43,99,0.434,11,42,0.262,13,14,0.929,16,37,53,18,12,4,9,15,28.0,0,0
NAS,2017-03-05,NAS @ OKL,1,239,91,35,94,0.372,11,32,0.344,10,13,0.769,16,41,57,23,13,8,21,28,6.0,0,0
ERI,2017-03-05,ERI vs. DEL,0,240,103,42,98,0.429,8,30,0.267,11,13,0.846,15,28,43,18,12,4,16,21,-20.0,0,1
NYK,2017-03-05,NYK vs. GSW,0,240,105,39,83,0.47,7,22,0.318,20,25,0.8,12,35,47,18,5,6,15,20,-7.0,0,1
IND,2017-03-05,IND @ ATL,1,240,97,35,78,0.449,15,33,0.455,12,21,0.571,9,35,44,24,6,4,15,22,1.0,0,0
DEL,2017-03-05,DEL @ ERI,1,239,123,43,90,0.478,17,33,0.515,20,25,0.8,13,38,51,28,11,2,17,14,20.0,0,0
ATL,2017-03-05,ATL vs. IND,0,239,96,34,77,0.442,9,27,0.333,19,31,0.613,11,33,44,21,12,1,14,19,-1.0,0,1
UTA,2017-03-05,UTA @ SAC,1,264,110,41,90,0.456,10,33,0.303,18,27,0.667,12,35,47,24,8,3,13,15,1.0,0,0
PHX,2017-03-05,PHX vs. BOS,1,239,109,42,94,0.447,4,20,0.2,21,26,0.808,10,40,50,16,7,10,11,29,3.0,1,1
NOP,2017-03-05,NOP @ LAL,1,240,105,36,89,0.404,9,24,0.375,24,35,0.686,13,31,44,23,12,5,13,12,8.0,0,0
SAC,2017-03-05,SAC vs. UTA,0,266,109,43,83,0.518,8,17,0.471,15,20,0.75,5,32,37,24,8,3,12,21,-1.0,0,1
IWA,2017-03-05,IWA vs. MNE,0,240,82,35,90,0.389,2,21,0.095,10,14,0.714,15,36,51,13,7,7,16,14,-28.0,0,1
ORL,2017-03-05,ORL @ WAS,0,240,114,44,89,0.494,14,35,0.4,12,19,0.632,13,30,43,16,9,3,14,18,-1.0,0,0
WAS,2017-03-05,WAS vs. ORL,1,239,115,39,81,0.481,14,26,0.538,23,25,0.92,10,28,38,26,9,6,12,16,1.0,1,1
CTN,2017-03-05,CTN vs. WES,1,239,120,47,91,0.516,10,28,0.357,16,22,0.727,6,33,39,35,8,6,18,18,8.0,1,1
GSW,2017-03-05,GSW @ NYK,1,240,112,40,88,0.455,13,35,0.371,19,23,0.826,11,24,35,21,11,3,8,18,7.0,0,0
AUS,2017-03-05,AUS vs. SLC,0,240,113,37,82,0.451,12,24,0.5,27,35,0.771,11,30,41,13,10,11,12,24,-6.0,0,1
DAL,2017-03-05,DAL vs. OKC,1,241,104,42,86,0.488,7,25,0.28,13,16,0.813,5,32,37,24,6,2,8,20,15.0,1,1
LAL,2017-03-05,LAL vs. NOP,0,242,97,38,83,0.458,10,28,0.357,11,15,0.733,11,38,49,22,7,5,25,24,-8.0,0,1
OKL,2017-03-05,OKL vs. NAS,0,241,85,28,70,0.4,6,26,0.231,23,32,0.719,3,37,40,21,13,9,26,19,-6.0,0,1
